global_id,PRECINCT_shp,COUNTYGEOID10,COUNTYNAME10,PRECINCT_election_results,PRECINCTCODE_election_results,PRECINCT_misfit
5369,JEROMESVILLE,39005,Ashland,JEROMESVILLE,ACB,
5370,LAKE,39005,Ashland,LAKE,ABV,
5371,LOUDONVILLE 1,39005,Ashland,LOUDONVILLE 1,ABO,
5372,LOUDONVILLE 2,39005,Ashland,LOUDONVILLE 2,ABP,
5373,MIFFLIN,39005,Ashland,MIFFLIN,ACV,
5374,MILTON 1,39005,Ashland,MILTON 1,ABZ,
5375,MILTON 3,39005,Ashland,MILTON 3,ACA,
5376,MOHICAN,39005,Ashland,MOHICAN,ACC,
5377,MONTGOMERY 1,39005,Ashland,MONTGOMERY 1,ACE,
5378,MONTGOMERY 2,39005,Ashland,MONTGOMERY 2,ACF,
5379,MONTGOMERY 3,39005,Ashland,MONTGOMERY 3,ACH,
5380,ORANGE 1,39005,Ashland,ORANGE 1,ACI,
5381,ORANGE 2,39005,Ashland,ORANGE 2,ACJ,
5382,PERRY,39005,Ashland,PERRY,ACM,
5383,RUGGLES,39005,Ashland,RUGGLES,ACN,
5384,SULLIVAN 1,39005,Ashland,SULLIVAN 1,ACO,
5385,SULLIVAN 2,39005,Ashland,SULLIVAN 2,ACP,
5386,TROY,39005,Ashland,TROY,ACQ,
5387,VERMILLION 1,39005,Ashland,VERMILLION 1,ACS,
5388,VERMILLION 2,39005,Ashland,VERMILLION 2,ACT,
,,39005,Ashland,VERMILLION 3,ACU,
5528,Andover Twp 1,39007,Ashtabula,PRECINCT ANDOVER TWP. 1,ABZ,
5529,Andover Twp 2,39007,Ashtabula,PRECINCT ANDOVER TWP. 2,ACA,
5530,Andover Vill,39007,Ashtabula,PRECINCT ANDOVER VILLAGE,ACB,
5531,Cherry Valley,39007,Ashtabula,PRECINCT CHERRY VALLEY,ACQ,
5532,Williamsfield Twp 2,39007,Ashtabula,PRECINCT WMSFLD TWP 2,AEW,
5533,Jeff Twp 1,39007,Ashtabula,PRECINCT JEFFERSON TWP. 1,ADF,
5534,Jeff Twp 3,39007,Ashtabula,PRECINCT JEFFERSON TWP 3,ADH,
5535,New Lyme,39007,Ashtabula,PRECINCT NEW LYME TWP.,ADU,
5536,Dorset,39007,Ashtabula,PRECINCT DORSET TWP.,ACT,
5537,Wayne,39007,Ashtabula,PRECINCT WAYNE TWP.,AEU,
5538,Colebrook,39007,Ashtabula,PRECINCT COLEBROOK TWP.,ACR,
5539,Pierpont,39007,Ashtabula,PRECINCT PIERPONT TWP.,AEB,
5540,Lenox 2,39007,Ashtabula,PRECINCT LENOX TWP. 2,ADP,
5541,GOTL Village,39007,Ashtabula,PRECINCT GEN ON LAKE VILL,ACY,
5542,Gen Twp 2,39007,Ashtabula,PRECINCT GENEVA TWP. 2,ACW,
5543,Say 7,39007,Ashtabula,PRECINCT SAYBROOK TWP. 7,AEO,
5544,Monroe 1,39007,Ashtabula,PRECINCT MONROE TWP. 1,ADQ,
5545,Kings 2,39007,Ashtabula,PRECINCT KINGSVILLE TWP. 2,ADN,
5546,N Kings 2,39007,Ashtabula,PRECINCT N KINGS VILL 2,ADW,
5547,Rock Creek,39007,Ashtabula,PRECINCT ROCK CREEK VILLAGE,ADS,
5548,Roaming Sh,39007,Ashtabula,PRECINCT ROAMING SHORES VILLAGE,AEZ,
5549,Orwell Vill,39007,Ashtabula,PRECINCT ORWELL VILLAGE,AEA,
5550,Orwell Twp,39007,Ashtabula,PRECINCT ORWELL TWP.,ADZ,
5551,Denmark,39007,Ashtabula,PRECINCT DENMARK TWP.,ACS,
5552,Jeff Twp 2,39007,Ashtabula,PRECINCT JEFFERSON TWP. 2,ADG,
5553,Sheff 2,39007,Ashtabula,PRECINCT SHEFFIELD TWP. 2,AER,
5554,Harp 1,39007,Ashtabula,PRECINCT HARPERSFLD TWP 1,ADA,
5555,Trumbull Twp,39007,Ashtabula,PRECINCT TRUMBULL TWP.,AES,
5556,Hartsgrove Twp,39007,Ashtabula,PRECINCT HARTSGROVE TWP,ADD,
5557,Rome,39007,Ashtabula,PRECINCT ROME TWP.,AEG,
5558,Ply 2,39007,Ashtabula,PRECINCT PLYMOUTH TWP. 2,AED,
5559,Say 8,39007,Ashtabula,PRECINCT SAYBROOK TWP. 8,AEP,
5560,Say 5,39007,Ashtabula,PRECINCT SAYBROOK TWP. 5,AEL,
5561,Windsor,39007,Ashtabula,PRECINCT WINDSOR TWP.,AEX,
5562,J.V. 3,39007,Ashtabula,PRECINCT JEFF VILL 3,ADL,
5563,Lenox 1,39007,Ashtabula,PRECINCT LENOX TWP. 1,ADO,
5564,J.V. 1,39007,Ashtabula,PRECINCT JEFF VILL 1,ADI,
5565,J.V. 2,39007,Ashtabula,PRECINCT JEFF VILL 2,ADJ,
5566,Sheff 1,39007,Ashtabula,PRECINCT SHEFFIELD TWP. 1,AEQ,
5567,Ash. 2-C,39007,Ashtabula,PRECINCT ASHTABULA 2-C,AAJ,
5568,Ash. 2-A,39007,Ashtabula,PRECINCT ASHTABULA 2-A,AAH,
5569,Ash. 1-B,39007,Ashtabula,PRECINCT ASHTABULA 1-B,AAB,
